Perturbation	Cell Count	Rank	geneName
sciPlex3_MCF7_1μM	473	2	Tranylcypromine-2-PCPA-HCl
sciPlex3_MCF7_10μM	440	3	Tranylcypromine-2-PCPA-HCl
sciPlex3_A549_10μM	272	4	Tranylcypromine-2-PCPA-HCl
sciPlex3_K562_1μM	268	5	Tranylcypromine-2-PCPA-HCl
sciPlex3_K562_10μM	258	6	Tranylcypromine-2-PCPA-HCl
sciPlex3_K562_0.01μM	252	7	Tranylcypromine-2-PCPA-HCl
sciPlex3_K562_0.1μM	222	8	Tranylcypromine-2-PCPA-HCl
sciPlex3_A549_1μM	221	9	Tranylcypromine-2-PCPA-HCl
sciPlex3_A549_0.01μM	187	10	Tranylcypromine-2-PCPA-HCl
sciPlex3_A549_0.1μM	137	11	Tranylcypromine-2-PCPA-HCl
sciPlex3_MCF7_0.1μM	129	12	Tranylcypromine-2-PCPA-HCl
PRJNA551220	680	1	DLX2
210322_TFAtlas	33	2	DLX2
sample1-18	344	1	WAC
K562_GW	217	2	WAC
RPE1_essential	112	3	WAC
K562_essential	95	4	WAC
K562_GW	187	1	ZNF212
210322_TFAtlas	33	2	ZNF212
exp6	828	1	TOPBP1
exp10	166	2	TOPBP1
exp9	119	3	TOPBP1
K562_GW	89	4	TOPBP1
K562_essential	52	5	TOPBP1
sciPlex3_MCF7_0.1μM	335	1	AMG-900
sciPlex3_MCF7_0.01μM	304	2	AMG-900
sciPlex3_MCF7_10μM	291	3	AMG-900
sciPlex3_K562_1μM	223	4	AMG-900
sciPlex3_K562_0.1μM	209	5	AMG-900
sciPlex3_K562_0.01μM	202	6	AMG-900
sciPlex3_MCF7_1μM	187	7	AMG-900
sciPlex3_K562_10μM	186	8	AMG-900
sciPlex3_A549_0.01μM	160	9	AMG-900
sciPlex3_A549_0.1μM	144	10	AMG-900
sciPlex3_A549_10μM	118	11	AMG-900
sciPlex3_A549_1μM	104	12	AMG-900
exp7	1900	1	LONP1
K562_GW	135	2	LONP1
K562_essential	92	3	LONP1
RPE1_essential	73	4	LONP1
210322_TFAtlas	872	1	NHP2
K562_GW	98	2	NHP2
K562_essential	59	3	NHP2
RPE1_essential	42	4	NHP2
K562_GW	155	1	EEF1G
K562_essential	142	2	EEF1G
Perturb-CITE-seq	82	3	EEF1G
RPE1_essential	58	4	EEF1G
210322_TFAtlas	284	1	KLF16
K562_GW	92	2	KLF16
PRJNA551220	4670	1	ETS2
exp8	541	2	ETS2
K562_GW	70	3	ETS2
210322_TFAtlas	52	4	ETS2
sciPlex3_MCF7_0.01μM	565	1	ENMD-2076
sciPlex3_MCF7_0.1μM	300	2	ENMD-2076
sciPlex3_K562_0.01μM	291	3	ENMD-2076
sciPlex3_A549_0.1μM	252	4	ENMD-2076
sciPlex3_A549_0.01μM	251	5	ENMD-2076
sciPlex3_MCF7_1μM	233	6	ENMD-2076
sciPlex3_K562_0.1μM	218	7	ENMD-2076
sciPlex3_MCF7_10μM	198	8	ENMD-2076
sciPlex3_K562_1μM	194	9	ENMD-2076
sciPlex3_A549_1μM	170	10	ENMD-2076
sciPlex3_K562_10μM	120	11	ENMD-2076
sciPlex3_A549_10μM	89	12	ENMD-2076
K562_GW	102	1	ZFX
210322_TFAtlas	84	2	ZFX
210322_TFAtlas	3152	1	NFYC
RPE1_essential	108	2	NFYC
sciPlex3_MCF7_1μM	631	1	SRT2104
sciPlex3_A549_1μM	419	2	SRT2104
sciPlex3_MCF7_0.1μM	412	3	SRT2104
sciPlex3_A549_0.1μM	387	4	SRT2104
sciPlex3_A549_10μM	352	5	SRT2104
sciPlex3_A549_0.01μM	337	6	SRT2104
sciPlex3_MCF7_10μM	326	7	SRT2104
sciPlex3_K562_0.1μM	292	8	SRT2104
sciPlex3_K562_1μM	287	9	SRT2104
sciPlex3_K562_0.01μM	274	10	SRT2104
sciPlex3_K562_10μM	268	11	SRT2104
sciPlex3_MCF7_0.01μM	204	12	SRT2104
K562_GW	334	1	ZNF672
210322_TFAtlas	179	2	ZNF672
sciPlex3_MCF7_0.01μM	569	1	MK-5108
sciPlex3_MCF7_0.1μM	281	2	MK-5108
sciPlex3_K562_0.01μM	251	3	MK-5108
sciPlex3_K562_1μM	235	4	MK-5108
sciPlex3_A549_0.01μM	225	5	MK-5108
sciPlex3_K562_0.1μM	208	6	MK-5108
sciPlex3_MCF7_1μM	184	7	MK-5108
sciPlex3_MCF7_10μM	177	8	MK-5108
sciPlex3_A549_0.1μM	172	9	MK-5108
sciPlex3_A549_1μM	165	10	MK-5108
sciPlex3_A549_10μM	91	11	MK-5108
sciPlex3_K562_10μM	57	12	MK-5108
210322_TFAtlas	578	1	TCF15
K562_GW	182	2	TCF15
exp8	929	1	COX5A
RPE1_essential	193	2	COX5A
K562_essential	85	3	COX5A
K562_GW	80	4	COX5A
RPE1_essential	114	1	TPRKB
Perturb-CITE-seq	108	2	TPRKB
K562_GW	34	3	TPRKB
K562_essential	29	4	TPRKB
210322_TFAtlas	440	1	HMGN2
K562_GW	239	2	HMGN2
K562_essential	107	3	HMGN2
RPE1_essential	46	4	HMGN2
210322_TFAtlas	178	1	MAP3K7
K562_GW	174	2	MAP3K7
201218_RNA	511	1	DMRTA2
210322_TFAtlas	162	2	DMRTA2
TAD2_SE2	125	1	chr6_37178441_37178459_-
15SE_71HS	91	2	chr6_37178441_37178459_-
210322_TFAtlas	1043	1	E2F5
K562_GW	36	2	E2F5
UPR_Perturb_seq	486	1	EIF2B4
exp1-5	434	2	EIF2B4
K562_essential	242	3	EIF2B4
K562_GW	129	4	EIF2B4
RPE1_essential	65	5	EIF2B4
exp7	197	1	CLTC
K562_GW	149	2	CLTC
K562_essential	129	3	CLTC
RPE1_essential	47	4	CLTC
Perturb-CITE-seq	232	1	NOLC1
K562_GW	217	2	NOLC1
K562_essential	112	3	NOLC1
RPE1_essential	38	4	NOLC1
sciPlex3_MCF7_0.1μM	308	1	Pelitinib
sciPlex3_MCF7_1μM	284	2	Pelitinib
sciPlex3_K562_0.01μM	266	3	Pelitinib
sciPlex3_K562_0.1μM	252	4	Pelitinib
sciPlex3_K562_1μM	246	5	Pelitinib
sciPlex3_A549_0.01μM	244	6	Pelitinib
sciPlex3_MCF7_0.01μM	237	7	Pelitinib
sciPlex3_A549_0.1μM	220	8	Pelitinib
sciPlex3_MCF7_10μM	156	9	Pelitinib
sciPlex3_A549_10μM	149	10	Pelitinib
sciPlex3_K562_10μM	68	11	Pelitinib
sciPlex3_A549_1μM	51	12	Pelitinib
K562_GW	151	1	PA2G4
210322_TFAtlas	102	2	PA2G4
sciPlex3_MCF7_0.1μM	553	1	Gandotinib
sciPlex3_MCF7_0.01μM	329	2	Gandotinib
sciPlex3_MCF7_1μM	315	3	Gandotinib
sciPlex3_A549_0.1μM	268	4	Gandotinib
sciPlex3_K562_0.1μM	238	5	Gandotinib
sciPlex3_K562_1μM	238	6	Gandotinib
sciPlex3_K562_0.01μM	220	7	Gandotinib
sciPlex3_A549_1μM	217	8	Gandotinib
sciPlex3_A549_0.01μM	217	9	Gandotinib
sciPlex3_K562_10μM	200	10	Gandotinib
sciPlex3_MCF7_10μM	196	11	Gandotinib
sciPlex3_A549_10μM	114	12	Gandotinib
K562_GW	149	1	JARID2
210322_TFAtlas	46	2	JARID2
sciPlex3_MCF7_0.1μM	369	1	CYC116
sciPlex3_MCF7_0.01μM	261	2	CYC116
sciPlex3_K562_1μM	256	3	CYC116
sciPlex3_K562_0.01μM	250	4	CYC116
sciPlex3_MCF7_1μM	244	5	CYC116
sciPlex3_K562_0.1μM	230	6	CYC116
sciPlex3_MCF7_10μM	228	7	CYC116
sciPlex3_A549_0.01μM	177	8	CYC116
sciPlex3_A549_1μM	153	9	CYC116
sciPlex3_K562_10μM	138	10	CYC116
sciPlex3_A549_0.1μM	130	11	CYC116
sciPlex3_A549_10μM	80	12	CYC116
K562_GW	107	1	ZNF175
210322_TFAtlas	45	2	ZNF175
sciPlex3_MCF7_0.01μM	537	1	M344
sciPlex3_MCF7_10μM	441	2	M344
sciPlex3_MCF7_1μM	292	3	M344
sciPlex3_MCF7_0.1μM	291	4	M344
sciPlex3_K562_0.01μM	242	5	M344
sciPlex3_K562_0.1μM	228	6	M344
sciPlex3_A549_1μM	163	7	M344
sciPlex3_A549_0.01μM	160	8	M344
sciPlex3_A549_10μM	151	9	M344
sciPlex3_A549_0.1μM	129	10	M344
sciPlex3_K562_1μM	100	11	M344
sciPlex3_K562_10μM	67	12	M344
sciPlex3_MCF7_10μM	493	1	INO-1001
sciPlex3_MCF7_0.1μM	492	2	INO-1001
sciPlex3_MCF7_1μM	424	3	INO-1001
sciPlex3_MCF7_0.01μM	330	4	INO-1001
sciPlex3_K562_10μM	275	5	INO-1001
sciPlex3_K562_1μM	270	6	INO-1001
sciPlex3_K562_0.1μM	262	7	INO-1001
sciPlex3_K562_0.01μM	250	8	INO-1001
sciPlex3_A549_10μM	220	9	INO-1001
sciPlex3_A549_1μM	220	10	INO-1001
sciPlex3_A549_0.1μM	132	11	INO-1001
sciPlex3_A549_0.01μM	119	12	INO-1001
sciPlex3_A549_10μM	477	1	G007-LK
sciPlex3_A549_1μM	406	2	G007-LK
sciPlex3_A549_0.01μM	396	3	G007-LK
sciPlex3_A549_0.1μM	381	4	G007-LK
sciPlex3_MCF7_10μM	344	5	G007-LK
sciPlex3_MCF7_0.1μM	284	6	G007-LK
sciPlex3_MCF7_0.01μM	258	7	G007-LK
sciPlex3_K562_0.01μM	237	8	G007-LK
sciPlex3_MCF7_1μM	236	9	G007-LK
sciPlex3_K562_10μM	223	10	G007-LK
sciPlex3_K562_0.1μM	211	11	G007-LK
sciPlex3_K562_1μM	208	12	G007-LK
sciPlex3_MCF7_0.1μM	406	1	BMS-265246
sciPlex3_MCF7_0.01μM	399	2	BMS-265246
sciPlex3_K562_0.1μM	271	3	BMS-265246
sciPlex3_K562_1μM	269	4	BMS-265246
sciPlex3_K562_0.01μM	264	5	BMS-265246
sciPlex3_MCF7_1μM	235	6	BMS-265246
sciPlex3_MCF7_10μM	220	7	BMS-265246
sciPlex3_A549_0.1μM	143	8	BMS-265246
sciPlex3_A549_0.01μM	140	9	BMS-265246
sciPlex3_A549_1μM	113	10	BMS-265246
sciPlex3_A549_10μM	106	11	BMS-265246
sciPlex3_K562_10μM	94	12	BMS-265246
210322_TFAtlas	64	1	ZXDC
K562_GW	47	2	ZXDC
sciPlex3_MCF7_1μM	380	1	Tofacitinib-CP-690550-Citrate
sciPlex3_MCF7_10μM	362	2	Tofacitinib-CP-690550-Citrate
sciPlex3_MCF7_0.01μM	359	3	Tofacitinib-CP-690550-Citrate
sciPlex3_K562_0.01μM	294	4	Tofacitinib-CP-690550-Citrate
sciPlex3_K562_0.1μM	263	5	Tofacitinib-CP-690550-Citrate
sciPlex3_MCF7_0.1μM	254	6	Tofacitinib-CP-690550-Citrate
sciPlex3_A549_10μM	245	7	Tofacitinib-CP-690550-Citrate
sciPlex3_K562_10μM	244	8	Tofacitinib-CP-690550-Citrate
sciPlex3_K562_1μM	243	9	Tofacitinib-CP-690550-Citrate
sciPlex3_A549_0.01μM	236	10	Tofacitinib-CP-690550-Citrate
sciPlex3_A549_0.1μM	208	11	Tofacitinib-CP-690550-Citrate
sciPlex3_A549_1μM	150	12	Tofacitinib-CP-690550-Citrate
K562_GW	243	1	ZNF512B
210322_TFAtlas	31	2	ZNF512B
exp1-5	310	1	UFM1
UPR_Perturb_seq	203	2	UFM1
K562_GW	122	3	UFM1
K562_essential	84	4	UFM1
RPE1_essential	38	5	UFM1
CRISPRa	131	1	CDC5L
K562_essential	86	2	CDC5L
RPE1_essential	64	3	CDC5L
K562_GW	28	4	CDC5L
RPE1_essential	717	1	MYBL2
K562_essential	95	2	MYBL2
K562_GW	63	3	MYBL2
210322_TFAtlas	61	4	MYBL2
exp1-5	475	1	EIF2B3
UPR_Perturb_seq	360	2	EIF2B3
RPE1_essential	96	3	EIF2B3
K562_essential	93	4	EIF2B3
K562_GW	76	5	EIF2B3
sciPlex3_MCF7_0.1μM	518	1	Zileuton
sciPlex3_MCF7_1μM	491	2	Zileuton
sciPlex3_MCF7_10μM	480	3	Zileuton
sciPlex3_MCF7_0.01μM	470	4	Zileuton
sciPlex3_A549_0.01μM	288	5	Zileuton
sciPlex3_K562_10μM	285	6	Zileuton
sciPlex3_A549_1μM	275	7	Zileuton
sciPlex3_K562_0.1μM	269	8	Zileuton
sciPlex3_K562_1μM	260	9	Zileuton
sciPlex3_A549_0.1μM	255	10	Zileuton
sciPlex3_K562_0.01μM	240	11	Zileuton
sciPlex3_A549_10μM	217	12	Zileuton
sciPlex3_A549_0.01μM	280	1	Rigosertib
sciPlex3_MCF7_0.01μM	246	2	Rigosertib
sciPlex3_K562_0.01μM	230	3	Rigosertib
sciPlex3_MCF7_0.1μM	229	4	Rigosertib
sciPlex3_K562_0.1μM	179	5	Rigosertib
sciPlex3_A549_0.1μM	156	6	Rigosertib
sciPlex3_MCF7_1μM	136	7	Rigosertib
sciPlex3_MCF7_10μM	128	8	Rigosertib
sciPlex3_A549_1μM	81	9	Rigosertib
sciPlex3_K562_1μM	51	10	Rigosertib
sciPlex3_K562_10μM	45	11	Rigosertib
sciPlex3_A549_10μM	35	12	Rigosertib
210322_TFAtlas	178	1	SP110
K562_GW	69	2	SP110
sciPlex3_MCF7_0.01μM	527	1	UNC1999
sciPlex3_MCF7_0.1μM	473	2	UNC1999
sciPlex3_A549_1μM	397	3	UNC1999
sciPlex3_A549_0.1μM	396	4	UNC1999
sciPlex3_A549_10μM	387	5	UNC1999
sciPlex3_MCF7_1μM	320	6	UNC1999
sciPlex3_A549_0.01μM	320	7	UNC1999
sciPlex3_MCF7_10μM	300	8	UNC1999
sciPlex3_K562_0.01μM	255	9	UNC1999
sciPlex3_K562_0.1μM	237	10	UNC1999
sciPlex3_K562_1μM	224	11	UNC1999
sciPlex3_K562_10μM	221	12	UNC1999
Perturb-CITE-seq	710	1	RB1
K562_GW	433	2	RB1
Mock	152	3	RB1
Dox	117	4	RB1
210322_TFAtlas	171	1	ZNF768
K562_GW	168	2	ZNF768
K562_GW	163	1	RFX5
210322_TFAtlas	86	2	RFX5
K562_GW	114	1	ZNF771
210322_TFAtlas	68	2	ZNF771
210322_TFAtlas	255	1	POU1F1
extend_61	66	2	POU1F1
sciPlex3_MCF7_0.1μM	569	1	Tubastatin-A-HCl
sciPlex3_MCF7_0.01μM	415	2	Tubastatin-A-HCl
sciPlex3_MCF7_10μM	365	3	Tubastatin-A-HCl
sciPlex3_MCF7_1μM	306	4	Tubastatin-A-HCl
sciPlex3_A549_0.1μM	269	5	Tubastatin-A-HCl
sciPlex3_K562_0.01μM	256	6	Tubastatin-A-HCl
sciPlex3_K562_1μM	246	7	Tubastatin-A-HCl
sciPlex3_A549_1μM	244	8	Tubastatin-A-HCl
sciPlex3_K562_10μM	235	9	Tubastatin-A-HCl
sciPlex3_K562_0.1μM	205	10	Tubastatin-A-HCl
sciPlex3_A549_10μM	186	11	Tubastatin-A-HCl
sciPlex3_A549_0.01μM	107	12	Tubastatin-A-HCl
sciPlex3_A549_0.01μM	721	1	Bisindolylmaleimide-IX
sciPlex3_MCF7_0.01μM	506	2	Bisindolylmaleimide-IX
sciPlex3_A549_1μM	404	3	Bisindolylmaleimide-IX
sciPlex3_A549_0.1μM	387	4	Bisindolylmaleimide-IX
sciPlex3_K562_0.01μM	286	5	Bisindolylmaleimide-IX
sciPlex3_MCF7_1μM	282	6	Bisindolylmaleimide-IX
sciPlex3_MCF7_0.1μM	245	7	Bisindolylmaleimide-IX
sciPlex3_K562_1μM	224	8	Bisindolylmaleimide-IX
sciPlex3_K562_0.1μM	219	9	Bisindolylmaleimide-IX
sciPlex3_A549_10μM	38	10	Bisindolylmaleimide-IX
sciPlex3_MCF7_10μM	30	11	Bisindolylmaleimide-IX
sciPlex3_K562_10μM	27	12	Bisindolylmaleimide-IX
210322_TFAtlas	748	1	TFDP2
K562_GW	193	2	TFDP2
CRISPRi_perturb_host	423	1	UBA3
K562_GW	122	2	UBA3
K562_essential	76	3	UBA3
RPE1_essential	59	4	UBA3
201218_RNA	198	1	FIGLA
210322_TFAtlas	46	2	FIGLA
210322_TFAtlas	438	1	ZMYND11
K562_GW	229	2	ZMYND11
K562_essential	164	1	DYNC1H1
CRISPRi	156	2	DYNC1H1
K562_GW	83	3	DYNC1H1
RPE1_essential	31	4	DYNC1H1
day7neuron	2099	1	RAB7A
iPSC	1652	2	RAB7A
CRISPRi	248	3	RAB7A
K562_GW	67	4	RAB7A
210322_TFAtlas	458	1	CEBPG
K562_GW	50	2	CEBPG
UPR_Perturb_seq	467	1	CHERP
K562_GW	108	2	CHERP
K562_essential	61	3	CHERP
RPE1_essential	57	4	CHERP
PRJNA551220	1185	1	SNAI1
screen-matrices	500	2	SNAI1
pilot	258	3	SNAI1
210322_TFAtlas	246	4	SNAI1
K562_GW	450	1	MYRF
210322_TFAtlas	38	2	MYRF
210322_TFAtlas	81	1	CCNH
K562_essential	75	2	CCNH
K562_GW	72	3	CCNH
RPE1_essential	64	4	CCNH
sciPlex3_MCF7_10μM	519	1	Panobinostat
sciPlex3_MCF7_1μM	497	2	Panobinostat
sciPlex3_A549_0.01μM	453	3	Panobinostat
sciPlex3_MCF7_0.1μM	356	4	Panobinostat
sciPlex3_A549_0.1μM	219	5	Panobinostat
sciPlex3_MCF7_0.01μM	207	6	Panobinostat
sciPlex3_K562_0.01μM	160	7	Panobinostat
sciPlex3_A549_1μM	150	8	Panobinostat
sciPlex3_A549_10μM	145	9	Panobinostat
sciPlex3_K562_0.1μM	93	10	Panobinostat
sciPlex3_K562_1μM	75	11	Panobinostat
sciPlex3_K562_10μM	74	12	Panobinostat
K562_GW	381	1	ING1
210322_TFAtlas	355	2	ING1
210322_TFAtlas	317	1	SIX2
extend_61	219	2	SIX2
K562_essential	321	1	GTF2H1
K562_GW	169	2	GTF2H1
201218_RNA	68	3	GTF2H1
210322_TFAtlas	32	4	GTF2H1
sciPlex3_MCF7_0.1μM	508	1	PF-3845
sciPlex3_MCF7_10μM	505	2	PF-3845
sciPlex3_MCF7_0.01μM	495	3	PF-3845
